cruise_line,destination,departure_port,cabin_type,duration_nights,departure_month,days_until_departure,ship_age_years,passengers,price
Celebrity,Hawaii,Tampa,Suite,8,12,322,18,2,55080
Princess,Alaska,Tampa,Balcony,11,4,71,16,4,45970
Disney,Mediterranean,Los Angeles,Interior,8,4,92,16,2,22800
Celebrity,South Pacific,Port Canaveral,Suite,12,10,276,22,2,68180
Disney,South Pacific,San Juan,Balcony,7,5,113,7,3,58500
Disney,Mediterranean,Tampa,Suite,13,11,299,5,4,162460
Celebrity,Mexico,Port Canaveral,Interior,7,7,158,14,2,7500
MSC,Caribbean,New York,Suite,6,9,225,14,2,15120
Holland America,Hawaii,Galveston,Suite,5,2,19,5,2,28180
Princess,Bahamas,Fort Lauderdale,Balcony,5,10,263,16,2,5710
Carnival,Mexico,Fort Lauderdale,Ocean View,4,8,191,1,2,4920
Celebrity,Mediterranean,New Orleans,Balcony,11,5,104,22,2,33060
Norwegian,Mexico,New Orleans,Interior,5,7,184,25,4,7380
Holland America,Caribbean,New York,Suite,10,4,83,12,2,40360
MSC,South Pacific,New York,Ocean View,14,9,243,10,3,52430
Celebrity,Mediterranean,Seattle,Suite,14,11,292,0,2,97720
Norwegian,Mexico,Los Angeles,Interior,7,7,188,10,2,7370
Holland America,Northern Europe,Galveston,Balcony,7,4,78,4,4,49070
Celebrity,Northern Europe,Tampa,Suite,9,10,280,12,2,49670
Carnival,Hawaii,New Orleans,Suite,4,3,60,21,2,16170
Royal Caribbean,South Pacific,Port Canaveral,Interior,13,6,152,6,2,32760
Carnival,South Pacific,Galveston,Interior,9,7,174,13,2,16000
Carnival,Alaska,Los Angeles,Suite,13,5,112,4,3,78390
Princess,Northern Europe,Port Canaveral,Suite,11,11,307,6,2,65040
Disney,Mexico,Miami,Ocean View,11,9,235,2,3,33540
MSC,Hawaii,Los Angeles,Suite,6,2,27,23,1,15740
Disney,Hawaii,Seattle,Balcony,6,4,96,13,2,28980
Holland America,South Pacific,Port Canaveral,Suite,8,8,208,22,4,88780
MSC,Alaska,New York,Balcony,8,1,364,23,3,27670
MSC,South Pacific,New York,Suite,12,3,46,24,2,75030
Celebrity,Northern Europe,Port Canaveral,Suite,7,9,243,0,1,36240
Disney,Northern Europe,Seattle,Balcony,13,2,26,0,2,76270
Norwegian,Hawaii,Los Angeles,Suite,6,3,49,17,2,30860
Disney,Alaska,New Orleans,Suite,9,2,16,19,2,46690
Princess,Bahamas,Port Canaveral,Suite,4,2,12,21,2,9030
Disney,Hawaii,Tampa,Ocean View,7,1,352,17,2,33590
Royal Caribbean,Bahamas,New Orleans,Suite,5,12,313,0,1,8950
Holland America,Mediterranean,Galveston,Ocean View,10,3,53,0,2,30630
Royal Caribbean,Hawaii,Fort Lauderdale,Ocean View,5,3,56,25,3,19380
Norwegian,Alaska,Seattle,Interior,12,7,172,17,2,26140
MSC,Northern Europe,Fort Lauderdale,Suite,8,8,189,10,2,53330
Holland America,Hawaii,Seattle,Interior,5,5,119,2,2,15830
Princess,Hawaii,Fort Lauderdale,Interior,8,8,217,9,3,27960
Disney,Bahamas,New Orleans,Ocean View,9,12,314,10,4,35310
Holland America,Alaska,Port Canaveral,Balcony,12,1,348,15,1,22270
Royal Caribbean,South Pacific,New York,Suite,10,10,264,18,3,79350
Royal Caribbean,Mediterranean,San Juan,Interior,8,7,165,7,3,34760
MSC,Bahamas,Port Canaveral,Interior,5,7,158,6,2,3410
MSC,Caribbean,San Juan,Ocean View,10,9,234,23,3,14850
Norwegian,Mexico,Miami,Balcony,6,8,219,20,3,12370
Royal Caribbean,Mediterranean,Galveston,Balcony,7,1,347,7,3,33260
MSC,Northern Europe,Port Canaveral,Balcony,7,3,40,15,1,11190
MSC,Caribbean,Tampa,Ocean View,4,4,95,18,2,5240
MSC,Mediterranean,Seattle,Interior,11,4,91,23,2,18520
Holland America,Alaska,New Orleans,Ocean View,14,12,332,6,2,31840
Disney,Bahamas,Seattle,Balcony,5,9,248,14,2,10500
Holland America,Alaska,Miami,Suite,13,3,49,24,4,94680
Princess,Alaska,New Orleans,Ocean View,11,9,239,9,2,28720
Disney,Bahamas,Port Canaveral,Balcony,7,5,107,4,4,23840
Royal Caribbean,Caribbean,Los Angeles,Balcony,5,8,219,12,4,14840
Celebrity,Northern Europe,New Orleans,Suite,8,8,216,1,4,121910
Carnival,Northern Europe,Tampa,Ocean View,11,7,185,16,3,44960
Celebrity,Caribbean,Seattle,Suite,7,6,131,15,1,13950
Celebrity,Caribbean,New Orleans,Ocean View,6,1,355,4,2,14780
Norwegian,Caribbean,Fort Lauderdale,Interior,6,8,203,12,3,7970
Carnival,Mediterranean,Port Canaveral,Suite,11,1,361,9,2,47840
Holland America,Mexico,Fort Lauderdale,Suite,4,11,300,24,3,14120
Norwegian,Mexico,Seattle,Ocean View,6,2,10,5,3,13390
Royal Caribbean,Bahamas,Seattle,Interior,6,1,342,9,3,11290
Norwegian,Alaska,Port Canaveral,Balcony,10,10,256,5,2,24940
Carnival,South Pacific,Port Canaveral,Ocean View,9,5,105,8,4,49140
Holland America,South Pacific,Port Canaveral,Interior,8,8,200,3,2,22450
Celebrity,Caribbean,Los Angeles,Ocean View,6,3,58,0,1,9180
Royal Caribbean,Caribbean,Tampa,Interior,6,2,10,12,2,6920
Princess,South Pacific,Galveston,Suite,12,8,196,21,3,96050
Celebrity,Mediterranean,Seattle,Balcony,7,8,189,10,3,49720
Royal Caribbean,South Pacific,Port Canaveral,Suite,8,10,278,8,4,97770
MSC,Hawaii,San Juan,Suite,6,10,250,16,2,22270
MSC,Caribbean,Miami,Balcony,6,2,30,25,3,17440
Disney,Mediterranean,Seattle,Suite,8,7,185,13,4,163760
Disney,Bahamas,New Orleans,Suite,6,4,80,16,3,29200
Royal Caribbean,Alaska,Fort Lauderdale,Suite,14,4,93,14,4,103570
Disney,Mediterranean,Tampa,Ocean View,8,3,61,13,4,51770
Royal Caribbean,Alaska,Seattle,Balcony,10,6,138,21,2,38560
Carnival,Alaska,Fort Lauderdale,Suite,12,5,121,18,3,56350
Carnival,Hawaii,Seattle,Suite,6,11,294,13,3,40220
MSC,Mexico,New Orleans,Interior,4,3,52,10,3,6250
MSC,Bahamas,Port Canaveral,Balcony,8,8,201,18,3,11240
Princess,Caribbean,Seattle,Ocean View,10,7,170,24,2,15600
Norwegian,Mediterranean,Seattle,Interior,14,7,168,4,3,59560
Princess,Mediterranean,Los Angeles,Suite,11,4,81,23,2,54350
Royal Caribbean,Hawaii,New York,Balcony,11,4,70,8,4,80300
Disney,Mediterranean,New Orleans,Suite,13,3,37,25,2,75060
MSC,Mediterranean,Port Canaveral,Interior,13,7,160,21,4,44980
Norwegian,Caribbean,Galveston,Suite,5,9,249,11,3,15950
Holland America,Bahamas,New Orleans,Balcony,6,5,106,22,3,10180
Holland America,Bahamas,Galveston,Ocean View,7,11,304,25,1,4080
Princess,South Pacific,San Juan,Ocean View,14,6,156,4,2,45010
MSC,Caribbean,San Juan,Balcony,4,4,82,12,4,11080
Holland America,Alaska,Fort Lauderdale,Interior,14,5,98,1,2,26740
Celebrity,Northern Europe,Seattle,Ocean View,8,6,130,12,2,42840
Norwegian,Northern Europe,Los Angeles,Interior,13,6,147,20,2,37090
Celebrity,Caribbean,Fort Lauderdale,Interior,4,10,257,20,2,4630
MSC,Caribbean,New Orleans,Suite,6,3,55,25,2,17080
Holland America,South Pacific,New Orleans,Suite,8,7,173,2,3,78720
Norwegian,Northern Europe,Seattle,Interior,14,3,39,16,3,45780
Carnival,Mediterranean,Port Canaveral,Interior,9,2,9,17,2,12310
Celebrity,Bahamas,Port Canaveral,Interior,6,12,341,5,1,4660
Princess,Caribbean,Fort Lauderdale,Interior,6,8,193,17,2,6290
Royal Caribbean,Mediterranean,Miami,Balcony,11,1,344,17,2,36110
Disney,Hawaii,San Juan,Balcony,6,5,114,22,1,16780
Royal Caribbean,Mediterranean,Tampa,Interior,10,4,75,19,2,17180
Celebrity,Mexico,San Juan,Ocean View,5,11,288,8,2,7240
Norwegian,Northern Europe,Fort Lauderdale,Suite,13,1,362,4,2,71920
Carnival,Mexico,Galveston,Ocean View,6,12,338,16,2,8030
Holland America,Alaska,Seattle,Balcony,10,3,46,8,2,31020
Carnival,Northern Europe,Galveston,Interior,12,7,177,24,2,29250
MSC,Mexico,Fort Lauderdale,Interior,5,5,120,12,4,7550
Carnival,Alaska,San Juan,Balcony,14,3,55,16,2,28600
Princess,Mexico,Miami,Interior,4,8,206,5,2,4400
Holland America,South Pacific,New Orleans,Ocean View,9,1,343,4,2,39610
Princess,Caribbean,Tampa,Balcony,6,9,221,22,2,8710
Disney,Hawaii,New York,Suite,5,9,226,16,4,65880
MSC,Mexico,New Orleans,Interior,5,7,167,2,2,3980
Carnival,Mediterranean,Port Canaveral,Interior,8,6,153,17,4,34110
Royal Caribbean,Northern Europe,Los Angeles,Ocean View,8,8,214,0,2,34910
Royal Caribbean,Northern Europe,Tampa,Balcony,11,12,317,14,4,62670
MSC,Alaska,Galveston,Interior,12,2,33,13,2,15830
Norwegian,Hawaii,Galveston,Interior,8,6,134,17,3,27810
Carnival,Mexico,Los Angeles,Balcony,5,5,116,0,3,12140
Holland America,Mediterranean,New York,Balcony,7,9,244,19,3,44200
Royal Caribbean,Hawaii,San Juan,Interior,6,7,159,11,2,15710
Celebrity,Alaska,Galveston,Suite,13,10,258,6,1,32740
Norwegian,Northern Europe,Los Angeles,Interior,11,5,122,15,2,25660
Princess,Hawaii,Port Canaveral,Suite,6,6,144,3,4,88950
Disney,Alaska,Galveston,Ocean View,7,8,190,22,2,24100
MSC,Mexico,Port Canaveral,Interior,5,7,176,1,2,4760
MSC,South Pacific,Fort Lauderdale,Balcony,14,1,356,22,2,52590
Holland America,Northern Europe,Fort Lauderdale,Ocean View,9,4,71,4,2,28050
Royal Caribbean,Mediterranean,Galveston,Interior,7,9,229,15,2,14650
Disney,Bahamas,Tampa,Suite,6,10,268,5,2,18000
Carnival,Mexico,Seattle,Ocean View,4,3,59,22,3,8060
Norwegian,Mediterranean,Tampa,Ocean View,13,2,26,8,4,46430
Norwegian,Northern Europe,San Juan,Interior,7,8,201,13,2,20950
MSC,Mediterranean,Seattle,Balcony,13,12,336,1,2,38820
Princess,Hawaii,Galveston,Balcony,7,6,133,10,3,40900
Norwegian,Caribbean,Miami,Interior,6,7,171,6,2,7610
Princess,Bahamas,Port Canaveral,Suite,5,10,258,11,2,11360
Carnival,Bahamas,New York,Interior,7,4,73,10,2,7490
Celebrity,Hawaii,New Orleans,Ocean View,5,8,203,2,3,27340
Norwegian,Bahamas,San Juan,Interior,9,1,342,6,2,10900
Disney,Bahamas,New York,Interior,6,7,161,23,2,7760
MSC,Alaska,Port Canaveral,Interior,11,11,293,11,3,17660
Disney,Bahamas,Fort Lauderdale,Suite,6,10,275,16,3,22950
Norwegian,Mexico,New Orleans,Ocean View,3,11,296,1,3,5040
MSC,Northern Europe,New York,Suite,8,4,91,14,3,53620
Holland America,Northern Europe,San Juan,Suite,9,2,8,5,2,51110
Royal Caribbean,South Pacific,New Orleans,Balcony,11,6,144,17,2,36960
MSC,Caribbean,New Orleans,Ocean View,3,4,82,8,4,6900
Princess,Caribbean,Tampa,Ocean View,6,1,7,20,2,8880
Celebrity,Hawaii,New York,Interior,5,4,75,13,3,19980
Princess,Hawaii,Miami,Interior,7,5,119,23,4,24960
Norwegian,Mexico,New York,Interior,6,11,305,3,3,10590
Holland America,Mexico,Los Angeles,Ocean View,5,6,144,6,2,7650
Holland America,Alaska,Tampa,Suite,13,8,195,4,4,154850
Carnival,South Pacific,Los Angeles,Ocean View,9,5,103,18,2,24080
Norwegian,Mexico,New Orleans,Interior,4,5,97,12,2,3770
MSC,Bahamas,Fort Lauderdale,Ocean View,5,9,239,20,4,6770
Carnival,Alaska,San Juan,Interior,13,2,17,3,3,25680
Royal Caribbean,Alaska,Fort Lauderdale,Ocean View,7,2,11,25,2,12020
Celebrity,Bahamas,Port Canaveral,Ocean View,6,11,295,14,3,9150
Princess,Hawaii,Port Canaveral,Suite,5,11,285,22,2,26220
Carnival,Caribbean,Fort Lauderdale,Interior,6,3,59,16,3,11410
Holland America,Alaska,Tampa,Interior,13,8,204,4,2,35180
Princess,Mediterranean,Fort Lauderdale,Suite,8,5,121,3,4,86310
Princess,Hawaii,San Juan,Interior,5,8,191,2,3,21310
Norwegian,Alaska,New York,Suite,9,1,354,13,2,43580
Princess,Mexico,Fort Lauderdale,Balcony,5,10,262,21,2,7770
Princess,Bahamas,Port Canaveral,Interior,7,4,82,10,2,7890
Disney,South Pacific,Fort Lauderdale,Interior,11,4,81,2,2,47910
Norwegian,Alaska,Galveston,Suite,13,10,253,22,4,77120
Celebrity,Alaska,Seattle,Ocean View,14,11,282,17,2,33700
MSC,Northern Europe,San Juan,Interior,10,3,51,7,2,17290
MSC,Caribbean,New York,Balcony,6,4,75,3,1,7560
Celebrity,Hawaii,New Orleans,Ocean View,6,11,289,13,2,17310
MSC,Caribbean,Fort Lauderdale,Ocean View,9,4,80,12,3,15570
Holland America,Hawaii,Fort Lauderdale,Interior,6,3,44,15,3,21240
Norwegian,Caribbean,Galveston,Ocean View,4,6,132,2,1,3090
Holland America,Alaska,Los Angeles,Ocean View,11,9,247,13,3,42940
Disney,Caribbean,Fort Lauderdale,Balcony,4,12,335,1,2,18450
Norwegian,Alaska,Seattle,Interior,14,11,290,22,3,27900
Princess,Mediterranean,Port Canaveral,Suite,8,10,274,12,4,74260
Norwegian,Mediterranean,San Juan,Suite,13,5,101,23,4,106510
Carnival,South Pacific,Galveston,Suite,13,8,201,5,1,37120
Celebrity,Northern Europe,New Orleans,Ocean View,8,8,192,19,3,37860
Celebrity,Caribbean,New Orleans,Ocean View,4,3,61,2,2,9420
Royal Caribbean,Mexico,New York,Ocean View,5,2,23,7,2,9020
Royal Caribbean,South Pacific,Miami,Interior,11,2,11,11,3,48440
Holland America,Mediterranean,Seattle,Balcony,9,1,352,3,2,37190
Carnival,Alaska,San Juan,Interior,14,11,307,1,2,22160
Norwegian,South Pacific,Fort Lauderdale,Interior,10,5,117,25,2,23100
Norwegian,Alaska,Los Angeles,Balcony,12,6,155,11,2,46680
Holland America,Caribbean,Tampa,Suite,5,12,319,19,1,12680
Norwegian,South Pacific,Miami,Interior,11,11,287,25,3,40470
Carnival,South Pacific,Los Angeles,Interior,11,4,89,2,2,29690
Celebrity,Hawaii,Fort Lauderdale,Interior,4,9,242,8,4,18570
Princess,South Pacific,Fort Lauderdale,Ocean View,14,2,27,11,3,85050
Holland America,Northern Europe,Los Angeles,Ocean View,12,8,198,2,2,56880
Disney,Mexico,San Juan,Interior,10,3,36,23,3,24390
Royal Caribbean,Alaska,New Orleans,Interior,13,3,44,7,2,23120
Disney,Bahamas,Los Angeles,Balcony,6,10,280,14,2,10510
Norwegian,Bahamas,Seattle,Suite,4,7,175,2,2,11050
Disney,Mediterranean,Fort Lauderdale,Suite,7,11,286,4,4,96460
Norwegian,Mediterranean,San Juan,Balcony,13,3,38,25,2,31020
Holland America,South Pacific,Miami,Ocean View,7,1,357,13,2,32900
Norwegian,Bahamas,Fort Lauderdale,Ocean View,5,3,48,9,3,10810
Disney,Northern Europe,New Orleans,Ocean View,7,3,54,13,2,24180
Princess,Alaska,Galveston,Ocean View,14,10,250,17,2,24950
Norwegian,Northern Europe,San Juan,Balcony,7,11,294,25,3,27620
MSC,Bahamas,Galveston,Ocean View,6,7,169,0,2,5430
Disney,Alaska,Galveston,Suite,13,6,141,16,3,127790
Disney,Alaska,San Juan,Suite,10,5,103,13,2,63670
Norwegian,Northern Europe,Galveston,Ocean View,10,1,354,18,4,47050
Celebrity,Hawaii,New Orleans,Interior,8,10,264,3,2,19810
Disney,Northern Europe,Galveston,Suite,13,10,274,24,2,88280
Norwegian,South Pacific,Galveston,Suite,9,11,284,13,2,55690
Holland America,Mexico,Fort Lauderdale,Interior,7,3,60,2,2,12020
Holland America,Bahamas,San Juan,Suite,8,3,58,20,2,20700
Royal Caribbean,Mexico,Tampa,Suite,5,9,239,17,2,9490
MSC,South Pacific,Galveston,Interior,14,8,218,20,3,30570
Holland America,Caribbean,Tampa,Balcony,6,6,144,21,2,10240
Holland America,Mediterranean,Seattle,Interior,7,4,85,25,2,16180
Celebrity,Hawaii,San Juan,Ocean View,11,6,130,17,4,77010
MSC,Northern Europe,San Juan,Interior,13,4,95,12,4,40630
Norwegian,Northern Europe,Fort Lauderdale,Ocean View,9,10,265,3,2,23250
Holland America,Mexico,Galveston,Ocean View,5,3,54,0,2,10190
Norwegian,Caribbean,San Juan,Interior,5,4,73,14,2,6250
Celebrity,Alaska,Tampa,Ocean View,10,8,200,24,2,30070
Royal Caribbean,Mexico,Port Canaveral,Interior,6,12,333,18,3,9780
Carnival,South Pacific,Fort Lauderdale,Interior,11,5,99,2,1,16890
Celebrity,Mediterranean,Fort Lauderdale,Suite,7,8,218,2,2,65770
Carnival,Mediterranean,Seattle,Suite,14,4,89,5,2,62480
Norwegian,Caribbean,Galveston,Interior,11,10,254,19,2,8580
Royal Caribbean,Alaska,Fort Lauderdale,Balcony,7,11,281,0,2,20910
Norwegian,Mediterranean,Fort Lauderdale,Balcony,8,7,174,4,2,37090
Norwegian,Mexico,Los Angeles,Balcony,4,3,54,11,3,10890
Princess,South Pacific,Seattle,Suite,13,5,105,8,2,106570
Princess,Northern Europe,San Juan,Interior,11,4,91,25,2,21870
Disney,Northern Europe,Seattle,Suite,11,7,170,19,2,123900
Holland America,Northern Europe,San Juan,Ocean View,8,9,237,5,3,44980
Princess,Northern Europe,San Juan,Balcony,12,8,210,0,2,63710
Celebrity,Northern Europe,Galveston,Ocean View,10,1,343,11,2,31320
Celebrity,Bahamas,Galveston,Interior,6,7,175,6,2,5530
Celebrity,Mediterranean,Seattle,Interior,10,10,276,6,2,23390
Princess,Bahamas,Seattle,Suite,5,7,170,6,2,14140
Disney,South Pacific,New Orleans,Interior,8,9,238,5,2,26910
Holland America,Mediterranean,New Orleans,Interior,7,9,243,9,2,18770
Holland America,Caribbean,Galveston,Interior,6,3,42,15,1,5270
Holland America,Mexico,Galveston,Balcony,7,8,211,2,2,10960
Celebrity,South Pacific,Seattle,Interior,14,10,259,20,4,63610
Carnival,Hawaii,Miami,Interior,5,2,12,4,2,10230
Celebrity,Northern Europe,Port Canaveral,Ocean View,12,11,282,0,4,72540
Royal Caribbean,Mexico,Fort Lauderdale,Interior,3,7,162,2,2,3800
Holland America,Mexico,Port Canaveral,Ocean View,6,4,68,4,2,9720
Norwegian,Northern Europe,Fort Lauderdale,Suite,10,11,302,15,2,61330
Princess,Hawaii,Tampa,Suite,4,7,158,22,1,14920
MSC,Mediterranean,Fort Lauderdale,Interior,10,5,115,0,2,19420
Disney,Northern Europe,Los Angeles,Ocean View,10,11,309,24,2,44010
Celebrity,Mexico,Port Canaveral,Suite,7,3,61,4,2,28270
Celebrity,Northern Europe,San Juan,Suite,13,5,103,2,2,99410
Norwegian,Mexico,Port Canaveral,Interior,6,3,61,23,2,7070
Royal Caribbean,South Pacific,New Orleans,Ocean View,14,7,187,8,2,41780
Carnival,Hawaii,Tampa,Suite,4,10,264,13,2,15260
Royal Caribbean,South Pacific,Galveston,Balcony,13,9,223,6,2,41660
Holland America,Alaska,New York,Balcony,13,3,62,21,1,24440
MSC,Bahamas,Fort Lauderdale,Ocean View,4,2,25,18,2,4140
Carnival,Bahamas,Tampa,Balcony,8,1,365,22,2,11800
Holland America,Bahamas,New Orleans,Ocean View,6,4,94,25,2,7110
Princess,Mexico,Fort Lauderdale,Interior,4,1,365,19,2,5030
Princess,Mediterranean,Galveston,Ocean View,9,5,102,10,3,29080
Norwegian,Caribbean,Seattle,Suite,5,5,97,8,3,22770
Norwegian,Caribbean,Los Angeles,Balcony,6,10,257,7,2,10460
Royal Caribbean,Caribbean,Tampa,Balcony,6,4,92,24,2,10530
Carnival,Bahamas,Galveston,Balcony,6,7,186,17,2,5400
Disney,Mexico,Los Angeles,Balcony,3,7,187,9,3,9380
Disney,Bahamas,New York,Balcony,7,2,17,4,4,36170
MSC,Alaska,Los Angeles,Balcony,13,8,191,6,3,57390
MSC,Northern Europe,New Orleans,Interior,14,10,276,5,2,24560
Celebrity,Hawaii,San Juan,Suite,5,6,148,9,2,41480
Celebrity,Bahamas,Los Angeles,Suite,6,7,184,9,2,15400
Royal Caribbean,South Pacific,Los Angeles,Ocean View,11,12,326,17,2,41640
Princess,South Pacific,Fort Lauderdale,Balcony,7,9,239,1,2,29060
Carnival,Caribbean,New Orleans,Suite,3,7,187,21,3,8440
Royal Caribbean,Mexico,Galveston,Ocean View,8,10,264,21,4,14360
Norwegian,Bahamas,Port Canaveral,Balcony,11,5,107,13,2,13470
Carnival,Mexico,Miami,Ocean View,6,7,188,7,3,8890
Holland America,Northern Europe,Fort Lauderdale,Suite,11,12,312,9,2,78750
Holland America,Hawaii,Tampa,Ocean View,5,9,220,17,2,13260
Princess,Bahamas,San Juan,Balcony,8,9,243,17,2,10060
Holland America,Bahamas,New York,Ocean View,5,7,167,16,4,10120
Celebrity,South Pacific,Seattle,Balcony,13,9,243,0,4,123710
Royal Caribbean,Northern Europe,Port Canaveral,Interior,11,6,131,18,2,28870
Norwegian,Mexico,Seattle,Interior,4,1,350,0,2,6140
Disney,Caribbean,Miami,Interior,5,12,339,3,2,14590
Carnival,Mexico,Galveston,Suite,8,4,69,23,2,15110
Royal Caribbean,Mediterranean,New York,Ocean View,14,4,76,7,3,56510
Norwegian,Mexico,Miami,Balcony,7,12,326,22,2,13670
Carnival,Caribbean,San Juan,Ocean View,8,10,273,3,2,9800
Carnival,South Pacific,New York,Interior,7,4,69,9,2,18040
Norwegian,Mediterranean,San Juan,Balcony,8,9,228,4,2,25250
Norwegian,Alaska,Port Canaveral,Ocean View,10,10,250,15,2,17800
Carnival,South Pacific,New Orleans,Balcony,8,9,244,13,3,33160
Norwegian,Caribbean,Los Angeles,Balcony,4,8,206,0,2,7120
Royal Caribbean,South Pacific,Galveston,Interior,14,9,241,8,1,18190
Norwegian,Hawaii,Galveston,Ocean View,8,10,275,12,2,15590
Norwegian,Alaska,San Juan,Balcony,9,6,149,25,3,39440
Princess,Northern Europe,Los Angeles,Interior,14,12,317,21,2,32850
Princess,Alaska,San Juan,Balcony,12,11,306,19,3,40870
Carnival,Caribbean,Port Canaveral,Interior,5,1,347,3,2,7500
Disney,Hawaii,Tampa,Ocean View,4,4,96,23,3,20290
Holland America,Bahamas,San Juan,Interior,5,2,26,23,1,3330
Celebrity,Caribbean,Galveston,Ocean View,4,9,237,12,2,5340
MSC,Mediterranean,Los Angeles,Balcony,11,5,122,6,3,39070
Holland America,Mediterranean,San Juan,Interior,8,5,111,1,3,25230
Royal Caribbean,Hawaii,San Juan,Suite,6,3,43,10,2,34020
Disney,Mediterranean,San Juan,Ocean View,12,8,189,19,3,78280
Norwegian,Bahamas,Seattle,Suite,6,3,43,18,1,8810
Princess,Bahamas,Los Angeles,Interior,5,12,314,17,2,6790
MSC,Mexico,Seattle,Balcony,7,3,41,5,4,21220
Carnival,Mediterranean,Seattle,Balcony,8,11,305,15,4,43160
Princess,Caribbean,Galveston,Interior,5,5,109,10,3,8480
Royal Caribbean,Alaska,New York,Ocean View,12,1,346,1,2,35960
Carnival,Caribbean,Fort Lauderdale,Balcony,9,12,313,23,2,19190
Carnival,South Pacific,New Orleans,Ocean View,8,2,25,15,2,25200
Celebrity,Northern Europe,New Orleans,Suite,10,2,17,1,1,35730
MSC,Northern Europe,New York,Interior,13,8,200,22,2,33890
Holland America,Alaska,Los Angeles,Interior,12,7,187,6,2,32030
Royal Caribbean,Mediterranean,Fort Lauderdale,Ocean View,10,8,218,23,3,48310
Royal Caribbean,Caribbean,Miami,Ocean View,4,4,71,14,2,7160
Royal Caribbean,Hawaii,San Juan,Balcony,6,6,132,9,2,29470
Holland America,South Pacific,Fort Lauderdale,Interior,10,10,260,22,3,34610
Celebrity,Mediterranean,New Orleans,Suite,11,12,341,7,2,65500
Princess,Hawaii,Miami,Interior,5,8,217,22,4,22110
Disney,Mexico,Tampa,Interior,8,10,273,7,2,11400
MSC,Bahamas,Port Canaveral,Balcony,3,5,127,22,2,2720
Disney,Bahamas,Los Angeles,Interior,7,6,145,8,2,8730
Princess,Bahamas,New Orleans,Interior,8,8,203,15,1,3470
Holland America,Northern Europe,Miami,Suite,13,5,101,21,2,71100
Royal Caribbean,Mexico,New York,Interior,7,2,20,19,3,13020
Celebrity,Mexico,Miami,Ocean View,5,12,325,13,3,13410
Royal Caribbean,Bahamas,New Orleans,Suite,8,10,280,14,2,16210
Princess,Alaska,Los Angeles,Suite,10,4,74,0,2,51210
Princess,Bahamas,New York,Ocean View,5,11,299,12,1,3260
Princess,Hawaii,New Orleans,Balcony,7,12,318,0,2,38390
Celebrity,Mexico,Los Angeles,Ocean View,6,9,232,0,2,10100
Celebrity,South Pacific,Seattle,Ocean View,8,6,148,19,2,29350
Carnival,South Pacific,New Orleans,Ocean View,11,6,139,15,2,27390
Norwegian,Alaska,Tampa,Interior,7,5,101,21,2,10390
Disney,Hawaii,New York,Interior,7,3,38,22,4,38460
Princess,Caribbean,New York,Balcony,7,12,314,7,2,24520
Carnival,South Pacific,New York,Interior,10,7,173,18,2,24290
Holland America,Bahamas,New Orleans,Suite,4,7,174,19,3,11950
Celebrity,Northern Europe,Los Angeles,Balcony,11,12,325,0,2,51910
Royal Caribbean,Mexico,San Juan,Ocean View,3,12,318,6,3,7930
Celebrity,Mediterranean,San Juan,Suite,9,8,202,24,4,106430
Carnival,Bahamas,San Juan,Ocean View,6,11,301,20,2,4710
Holland America,Bahamas,San Juan,Interior,6,10,275,16,2,4640
Princess,Mediterranean,Tampa,Balcony,12,5,125,14,2,35640
Carnival,Mediterranean,Seattle,Suite,12,11,293,16,1,30060
Celebrity,South Pacific,Los Angeles,Ocean View,10,11,298,4,4,94800
MSC,Northern Europe,San Juan,Ocean View,11,7,181,10,2,35490
Holland America,Northern Europe,San Juan,Ocean View,10,5,99,14,1,17370
Carnival,Northern Europe,New York,Balcony,14,3,58,4,3,65990
Holland America,Caribbean,Fort Lauderdale,Ocean View,4,10,278,12,4,10760
Celebrity,Alaska,New York,Suite,11,4,67,10,3,96650
Celebrity,Bahamas,Fort Lauderdale,Interior,7,7,188,14,4,10790
Disney,Northern Europe,Los Angeles,Balcony,9,11,308,16,1,29470
Royal Caribbean,Hawaii,Seattle,Suite,5,5,97,16,3,38730
Princess,Bahamas,New Orleans,Ocean View,6,2,31,18,2,7730
Holland America,Mexico,Seattle,Balcony,5,5,98,4,1,6010
MSC,Northern Europe,San Juan,Balcony,12,3,57,11,2,32200
Carnival,Mexico,Los Angeles,Balcony,5,4,93,9,4,16530
Princess,Bahamas,New Orleans,Ocean View,4,5,112,17,3,5980
Norwegian,Caribbean,New York,Interior,6,5,106,0,2,8110
Royal Caribbean,Hawaii,New Orleans,Ocean View,9,11,299,13,3,27990
Norwegian,South Pacific,Fort Lauderdale,Balcony,8,9,234,13,2,29010
Carnival,Alaska,Fort Lauderdale,Balcony,9,5,120,23,1,11950
Norwegian,Hawaii,Los Angeles,Balcony,6,10,269,21,3,23280
Celebrity,Caribbean,Fort Lauderdale,Suite,9,10,273,10,2,30210
Royal Caribbean,Caribbean,Port Canaveral,Ocean View,6,5,119,21,2,7970
Disney,Alaska,Port Canaveral,Suite,11,4,74,6,2,72410
Carnival,Mediterranean,Seattle,Interior,10,5,98,1,2,19070
Princess,Northern Europe,Galveston,Ocean View,9,7,160,7,3,52470
Disney,South Pacific,San Juan,Suite,14,7,158,3,2,142060
Princess,Northern Europe,Galveston,Suite,13,3,66,5,2,68160
Celebrity,Bahamas,Seattle,Balcony,7,10,254,25,3,13550
